date,start,end,11WD8WED15C---2K,11WD8WED15C---1M
28.12.2020,00:00,01:00,,
28.12.2020,01:00,02:00,,
28.12.2020,02:00,03:00,,
28.12.2020,03:00,04:00,,
28.12.2020,04:00,05:00,,
28.12.2020,05:00,06:00,,
28.12.2020,06:00,07:00,,
28.12.2020,07:00,08:00,,
28.12.2020,08:00,09:00,,
28.12.2020,09:00,10:00,,
28.12.2020,10:00,11:00,,
28.12.2020,11:00,12:00,,
28.12.2020,12:00,13:00,,
28.12.2020,13:00,14:00,,
28.12.2020,14:00,15:00,,
28.12.2020,15:00,16:00,,
28.12.2020,16:00,17:00,,
28.12.2020,17:00,18:00,,
28.12.2020,18:00,19:00,,
28.12.2020,19:00,20:00,,
28.12.2020,20:00,21:00,,
28.12.2020,21:00,22:00,,
28.12.2020,22:00,23:00,,
28.12.2020,23:00,00:00,,
29.12.2020,00:00,01:00,,
29.12.2020,01:00,02:00,,
29.12.2020,02:00,03:00,,
29.12.2020,03:00,04:00,,
29.12.2020,04:00,05:00,,
29.12.2020,05:00,06:00,,
29.12.2020,06:00,07:00,,
29.12.2020,07:00,08:00,,
29.12.2020,08:00,09:00,,
29.12.2020,09:00,10:00,,
29.12.2020,10:00,11:00,,
29.12.2020,11:00,12:00,,
29.12.2020,12:00,13:00,,
29.12.2020,13:00,14:00,,
29.12.2020,14:00,15:00,,
29.12.2020,15:00,16:00,,
29.12.2020,16:00,17:00,,
29.12.2020,17:00,18:00,,
29.12.2020,18:00,19:00,,
29.12.2020,19:00,20:00,,
29.12.2020,20:00,21:00,,
29.12.2020,21:00,22:00,,
29.12.2020,22:00,23:00,,
29.12.2020,23:00,00:00,,
30.12.2020,00:00,01:00,,
30.12.2020,01:00,02:00,,
30.12.2020,02:00,03:00,,
30.12.2020,03:00,04:00,,
30.12.2020,04:00,05:00,,
30.12.2020,05:00,06:00,,
30.12.2020,06:00,07:00,,
30.12.2020,07:00,08:00,,
30.12.2020,08:00,09:00,,
30.12.2020,09:00,10:00,,
30.12.2020,10:00,11:00,,
30.12.2020,11:00,12:00,,
30.12.2020,12:00,13:00,,
30.12.2020,13:00,14:00,,
30.12.2020,14:00,15:00,,
30.12.2020,15:00,16:00,,
30.12.2020,16:00,17:00,,
30.12.2020,17:00,18:00,,
30.12.2020,18:00,19:00,,
30.12.2020,19:00,20:00,,
30.12.2020,20:00,21:00,,
30.12.2020,21:00,22:00,,
30.12.2020,22:00,23:00,,
30.12.2020,23:00,00:00,,
31.12.2020,00:00,01:00,,
31.12.2020,01:00,02:00,,
31.12.2020,02:00,03:00,,
31.12.2020,03:00,04:00,,
31.12.2020,04:00,05:00,,
31.12.2020,05:00,06:00,,
31.12.2020,06:00,07:00,,
31.12.2020,07:00,08:00,,
31.12.2020,08:00,09:00,,
31.12.2020,09:00,10:00,,
31.12.2020,10:00,11:00,,
31.12.2020,11:00,12:00,,
31.12.2020,12:00,13:00,,
31.12.2020,13:00,14:00,,
31.12.2020,14:00,15:00,,
31.12.2020,15:00,16:00,,
31.12.2020,16:00,17:00,,
31.12.2020,17:00,18:00,,
31.12.2020,18:00,19:00,,
31.12.2020,19:00,20:00,,
31.12.2020,20:00,21:00,,
31.12.2020,21:00,22:00,,
31.12.2020,22:00,23:00,,
31.12.2020,23:00,00:00,,
